id,x,y
1,0.092773438,0.695016004
2,0.695800781,0.295839049
3,0.301269531,0.649748514
4,0.908691406,0.788294467
5,0.244628906,0.031092821
6,0.529785156,0.395518976
7,0.384277344,0.983996342
8,0.833496094,0.114311843
9,0.034667969,0.492912666
10,0.683105469,0.73571102
11,0.358886719,0.310470965
12,0.984619141,0.561499771
13,0.144775391,0.815119646
14,0.564697266,0.070263679
15,0.463134766,0.424173144
16,0.795166016,0.900167657
17,0.110595703,0.15531169
18,0.723876953,0.54488645
19,0.253173828,0.762993446
20,0.901611328,0.223441549
21,0.202392578,0.602042372
22,0.547607422,0.881877763
23,0.410888672,0.090382564
24,0.871826172,0.34141137
25,0.026123047,0.928516994
26,0.639404297,0.220698064
27,0.329833984,0.463496418
28,0.943115234,0.675659198
29,0.185302734,0.264136565
30,0.605224609,0.657826551
31,0.491943359,0.801859473
32,0.76574707,0.002133821
33,0.06652832,0.380734644
34,0.71496582,0.993903368
35,0.291137695,0.123609206
36,0.927856445,0.502210029
37,0.219848633,0.706599604
38,0.505004883,0.332114007
39,0.403442383,0.574912361
40,0.823364258,0.828684652
41,0.053833008,0.042676421
42,0.656860352,0.433165676
43,0.367797852,0.910531931
44,0.981079102,0.165675964
45,0.135375977,0.530559366
46,0.584594727,0.77335772
47,0.439086914,0.237006554
48,0.806274414,0.615607377
49,0.107055664,0.852461515
50,0.737915039,0.107605548
51,0.273071289,0.350403902
52,0.875366211,0.941624752
53,0.211303711,0.192653559
54,0.543334961,0.471117208
55,0.424194336,0.689224204
56,0.849975586,0.27770157
57,0.001342773,0.637961693
58,0.649780273,0.806685973
59,0.325561523,0.015190774
60,0.956420898,0.393791597
61,0.163452148,0.964436316
62,0.624389648,0.145506274
63,0.477416992,0.511761418
64,0.762573242,0.717065488
65,0.080932617,0.301427628
66,0.694213867,0.584006503
67,0.311401367,0.851496215
68,0.915893555,0.057257532
69,0.240112305,0.418025707
70,0.51940918,0.920083321
71,0.38269043,0.173398364
72,0.84362793,0.539653508
73,0.039123535,0.744043083
74,0.675842285,0.258446375
75,0.34576416,0.624701519
76,0.99420166,0.866128131
77,0.15435791,0.0801199
78,0.571350098,0.358431133
79,0.458068848,0.959254179
80,0.784240723,0.202052533
81,0.120178223,0.455824823
