H,f1,f2,f3
1,0.333333333,0.333333333,0.333333333
1,0.203440095,0.203440095,0.59311981
1,0.203440095,0.59311981,0.203440095
1,0.59311981,0.203440095,0.203440095
1,0.1,0.1,0.8
1,0.129032258,0.435483871,0.435483871
1,0.1,0.8,0.1
1,0.435483871,0.129032258,0.435483871
1,0.435483871,0.435483871,0.129032258
1,0.8,0.1,0.1
1,0.041750167,0.041750167,0.916499666
1,0.06351626,0.260162602,0.676321138
1,0.06351626,0.676321138,0.260162602
1,0.041750167,0.916499666,0.041750167
1,0.260162602,0.06351626,0.676321138
1,0.260162602,0.676321138,0.06351626
1,0.676321138,0.06351626,0.260162602
1,0.676321138,0.260162602,0.06351626
1,0.916499666,0.041750167,0.041750167
1,0.015151515,0.015151515,0.96969697
1,0.024577573,0.13172043,0.843701997
1,0.031007752,0.484496124,0.484496124
1,0.024577573,0.843701997,0.13172043
1,0.015151515,0.96969697,0.015151515
1,0.13172043,0.024577573,0.843701997
1,0.13172043,0.843701997,0.024577573
1,0.484496124,0.031007752,0.484496124
1,0.484496124,0.484496124,0.031007752
1,0.843701997,0.024577573,0.13172043
1,0.843701997,0.13172043,0.024577573
1,0.96969697,0.015151515,0.015151515
1,0.004587156,0.004587156,0.990825688
1,0.007462687,0.059701493,0.932835821
1,0.010869565,0.293478261,0.695652174
1,0.010869565,0.695652174,0.293478261
1,0.007462687,0.932835821,0.059701493
1,0.004587156,0.990825688,0.004587156
1,0.059701493,0.007462687,0.932835821
1,0.059701493,0.932835821,0.007462687
1,0.293478261,0.010869565,0.695652174
1,0.293478261,0.695652174,0.010869565
1,0.695652174,0.010869565,0.293478261
1,0.695652174,0.293478261,0.010869565
1,0.932835821,0.007462687,0.059701493
1,0.932835821,0.059701493,0.007462687
1,0.990825688,0.004587156,0.004587156
1,0.000998004,0.000998004,0.998003992
1,0.001585414,0.024772097,0.973642489
1,0.00245098,0.156862745,0.840686275
1,0.002996255,0.498501873,0.498501873
1,0.00245098,0.840686275,0.156862745
1,0.001585414,0.973642489,0.024772097
1,0.000998004,0.998003992,0.000998004
1,0.024772097,0.001585414,0.973642489
1,0.024772097,0.973642489,0.001585414
1,0.156862745,0.00245098,0.840686275
1,0.156862745,0.840686275,0.00245098
1,0.498501873,0.002996255,0.498501873
1,0.498501873,0.498501873,0.002996255
1,0.840686275,0.00245098,0.156862745
1,0.840686275,0.156862745,0.00245098
1,0.973642489,0.001585414,0.024772097
1,0.973642489,0.024772097,0.001585414
1,0.998003992,0.000998004,0.000998004
1,9.39E-05,9.39E-05,0.999812207
1,1.44E-04,0.009243212,0.990612363
1,2.25E-04,0.077252252,0.922522523
1,3.13E-04,0.312695435,0.68699187
1,3.13E-04,0.68699187,0.312695435
1,2.25E-04,0.922522523,0.077252252
1,1.44E-04,0.990612363,0.009243212
1,9.39E-05,0.999812207,9.39E-05
1,0.009243212,1.44E-04,0.990612363
1,0.009243212,0.990612363,1.44E-04
1,0.077252252,2.25E-04,0.922522523
1,0.077252252,0.922522523,2.25E-04
1,0.312695435,3.13E-04,0.68699187
1,0.312695435,0.68699187,3.13E-04
1,0.68699187,3.13E-04,0.312695435
1,0.68699187,0.312695435,3.13E-04
1,0.922522523,2.25E-04,0.077252252
1,0.922522523,0.077252252,2.25E-04
1,0.990612363,1.44E-04,0.009243212
1,0.990612363,0.009243212,1.44E-04
1,0.999812207,9.39E-05,9.39E-05
1,0,0,1
1,0,0.002906977,0.997093023
1,0,0.035714286,0.964285714
1,0,0.177631579,0.822368421
1,0,0.5,0.5
1,0,0.822368421,0.177631579
1,0,0.964285714,0.035714286
1,0,0.997093023,0.002906977
1,0,1,0
1,0.002906977,0,0.997093023
1,0.002906977,0.997093023,0
1,0.035714286,0,0.964285714
1,0.035714286,0.964285714,0
1,0.177631579,0,0.822368421
1,0.177631579,0.822368421,0
1,0.5,0,0.5
1,0.5,0.5,0
1,0.822368421,0,0.177631579
1,0.822368421,0.177631579,0
1,0.964285714,0,0.035714286
1,0.964285714,0.035714286,0
1,0.997093023,0,0.002906977
1,0.997093023,0.002906977,0
1,1,0,0
2,0.333333333,0.333333333,0.333333333
2,0.225263679,0.225263679,0.549472641
2,0.225263679,0.549472641,0.225263679
2,0.549472641,0.225263679,0.225263679
2,0.130601937,0.130601937,0.738796125
2,0.153577938,0.423211031,0.423211031
2,0.130601937,0.738796125,0.130601937
2,0.423211031,0.153577938,0.423211031
2,0.423211031,0.423211031,0.153577938
2,0.738796125,0.130601937,0.130601937
2,0.066142688,0.066142688,0.867714624
2,0.087588281,0.283625948,0.628785771
2,0.087588281,0.628785771,0.283625948
2,0.066142688,0.867714624,0.066142688
2,0.283625948,0.087588281,0.628785771
2,0.283625948,0.628785771,0.087588281
2,0.628785771,0.087588281,0.283625948
2,0.628785771,0.283625948,0.087588281
2,0.867714624,0.066142688,0.066142688
2,0.029411765,0.029411765,0.941176471
2,0.041505617,0.168151985,0.790342397
2,0.048159731,0.475920134,0.475920134
2,0.041505617,0.790342397,0.168151985
2,0.029411765,0.941176471,0.029411765
2,0.168151985,0.041505617,0.790342397
2,0.168151985,0.790342397,0.041505617
2,0.475920134,0.048159731,0.475920134
2,0.475920134,0.475920134,0.048159731
2,0.790342397,0.041505617,0.168151985
2,0.790342397,0.168151985,0.041505617
2,0.941176471,0.029411765,0.029411765
2,0.011088733,0.011088733,0.977822535
2,0.015985024,0.090424953,0.893590023
2,0.02058102,0.320826347,0.658592633
2,0.02058102,0.658592633,0.320826347
2,0.015985024,0.893590023,0.090424953
2,0.011088733,0.977822535,0.011088733
2,0.090424953,0.015985024,0.893590023
2,0.090424953,0.893590023,0.015985024
2,0.320826347,0.02058102,0.658592633
2,0.320826347,0.658592633,0.02058102
2,0.658592633,0.02058102,0.320826347
2,0.658592633,0.320826347,0.02058102
2,0.893590023,0.015985024,0.090424953
2,0.893590023,0.090424953,0.015985024
2,0.977822535,0.011088733,0.011088733
2,0.003142403,0.003142403,0.993715193
2,0.004514158,0.044609441,0.950876401
2,0.00614848,0.196751371,0.797100148
2,0.006998632,0.496500684,0.496500684
2,0.00614848,0.797100148,0.196751371
2,0.004514158,0.950876401,0.044609441
2,0.003142403,0.993715193,0.003142403
2,0.044609441,0.004514158,0.950876401
2,0.044609441,0.950876401,0.004514158
2,0.196751371,0.00614848,0.797100148
2,0.196751371,0.797100148,0.00614848
2,0.496500684,0.006998632,0.496500684
2,0.496500684,0.496500684,0.006998632
2,0.797100148,0.00614848,0.196751371
2,0.797100148,0.196751371,0.00614848
2,0.950876401,0.004514158,0.044609441
2,0.950876401,0.044609441,0.004514158
2,0.993715193,0.003142403,0.003142403
2,0.00044011,0.00044011,0.999119781
2,0.000622447,0.019918304,0.979459249
2,0.000866069,0.112278815,0.886855116
2,0.001079254,0.341290086,0.65763066
2,0.001079254,0.65763066,0.341290086
2,0.000866069,0.886855116,0.112278815
2,0.000622447,0.979459249,0.019918304
2,0.00044011,0.999119781,0.00044011
2,0.019918304,0.000622447,0.979459249
2,0.019918304,0.979459249,0.000622447
2,0.112278815,0.000866069,0.886855116
2,0.112278815,0.886855116,0.000866069
2,0.341290086,0.001079254,0.65763066
2,0.341290086,0.65763066,0.001079254
2,0.65763066,0.001079254,0.341290086
2,0.65763066,0.341290086,0.001079254
2,0.886855116,0.000866069,0.112278815
2,0.886855116,0.112278815,0.000866069
2,0.979459249,0.000622447,0.019918304
2,0.979459249,0.019918304,0.000622447
2,0.999119781,0.00044011,0.00044011
2,0,0,1
2,0,0.007654517,0.992345483
2,0,0.060282881,0.939717119
2,0,0.2180504,0.7819496
2,0,0.5,0.5
2,0,0.7819496,0.2180504
2,0,0.939717119,0.060282881
2,0,0.992345483,0.007654517
2,0,1,0
2,0.007654517,0,0.992345483
2,0.007654517,0.992345483,0
2,0.060282881,0,0.939717119
2,0.060282881,0.939717119,0
2,0.2180504,0,0.7819496
2,0.2180504,0.7819496,0
2,0.5,0,0.5
2,0.5,0.5,0
2,0.7819496,0,0.2180504
2,0.7819496,0.2180504,0
2,0.939717119,0,0.060282881
2,0.939717119,0.060282881,0
2,0.992345483,0,0.007654517
2,0.992345483,0.007654517,0
2,1,0,0
3,0.333333333,0.333333333,0.333333333
3,0.247474747,0.247474747,0.505050505
3,0.247474747,0.505050505,0.247474747
3,0.505050505,0.247474747,0.247474747
3,0.166666667,0.166666667,0.666666667
3,0.181818182,0.409090909,0.409090909
3,0.166666667,0.666666667,0.166666667
3,0.409090909,0.181818182,0.409090909
3,0.409090909,0.409090909,0.181818182
3,0.666666667,0.166666667,0.166666667
3,0.101626016,0.101626016,0.796747967
3,0.119047619,0.304761905,0.576190476
3,0.119047619,0.576190476,0.304761905
3,0.101626016,0.796747967,0.101626016
3,0.304761905,0.119047619,0.576190476
3,0.304761905,0.576190476,0.119047619
3,0.576190476,0.119047619,0.304761905
3,0.576190476,0.304761905,0.119047619
3,0.796747967,0.101626016,0.101626016
3,0.055555556,0.055555556,0.888888889
3,0.068376068,0.209401709,0.722222222
3,0.074074074,0.462962963,0.462962963
3,0.068376068,0.722222222,0.209401709
3,0.055555556,0.888888889,0.055555556
3,0.209401709,0.068376068,0.722222222
3,0.209401709,0.722222222,0.068376068
3,0.462962963,0.074074074,0.462962963
3,0.462962963,0.462962963,0.074074074
3,0.722222222,0.068376068,0.209401709
3,0.722222222,0.209401709,0.068376068
3,0.888888889,0.055555556,0.055555556
3,0.026315789,0.026315789,0.947368421
3,0.033333333,0.133333333,0.833333333
3,0.038461538,0.346153846,0.615384615
3,0.038461538,0.615384615,0.346153846
3,0.033333333,0.833333333,0.133333333
3,0.026315789,0.947368421,0.026315789
3,0.133333333,0.033333333,0.833333333
3,0.133333333,0.833333333,0.033333333
3,0.346153846,0.038461538,0.615384615
3,0.346153846,0.615384615,0.038461538
3,0.615384615,0.038461538,0.346153846
3,0.615384615,0.346153846,0.038461538
3,0.833333333,0.033333333,0.133333333
3,0.833333333,0.133333333,0.033333333
3,0.947368421,0.026315789,0.026315789
3,0.009803922,0.009803922,0.980392157
3,0.012578616,0.078616352,0.908805031
3,0.015151515,0.242424242,0.742424242
3,0.016260163,0.491869919,0.491869919
3,0.015151515,0.742424242,0.242424242
3,0.012578616,0.908805031,0.078616352
3,0.009803922,0.980392157,0.009803922
3,0.078616352,0.012578616,0.908805031
3,0.078616352,0.908805031,0.012578616
3,0.242424242,0.015151515,0.742424242
3,0.242424242,0.742424242,0.015151515
3,0.491869919,0.016260163,0.491869919
3,0.491869919,0.491869919,0.016260163
3,0.742424242,0.015151515,0.242424242
3,0.742424242,0.242424242,0.015151515
3,0.908805031,0.012578616,0.078616352
3,0.908805031,0.078616352,0.012578616
3,0.980392157,0.009803922,0.009803922
3,0.002057613,0.002057613,0.995884774
3,0.002645503,0.042328042,0.955026455
3,0.003267974,0.160130719,0.836601307
3,0.003703704,0.37037037,0.625925926
3,0.003703704,0.625925926,0.37037037
3,0.003267974,0.836601307,0.160130719
3,0.002645503,0.955026455,0.042328042
3,0.002057613,0.995884774,0.002057613
3,0.042328042,0.002645503,0.955026455
3,0.042328042,0.955026455,0.002645503
3,0.160130719,0.003267974,0.836601307
3,0.160130719,0.836601307,0.003267974
3,0.37037037,0.003703704,0.625925926
3,0.37037037,0.625925926,0.003703704
3,0.625925926,0.003703704,0.37037037
3,0.625925926,0.37037037,0.003703704
3,0.836601307,0.003267974,0.160130719
3,0.836601307,0.160130719,0.003267974
3,0.955026455,0.002645503,0.042328042
3,0.955026455,0.042328042,0.002645503
3,0.995884774,0.002057613,0.002057613
3,0,0,1
3,0,0.02,0.98
3,0,0.1,0.9
3,0,0.264705882,0.735294118
3,0,0.5,0.5
3,0,0.735294118,0.264705882
3,0,0.9,0.1
3,0,0.98,0.02
3,0,1,0
3,0.02,0,0.98
3,0.02,0.98,0
3,0.1,0,0.9
3,0.1,0.9,0
3,0.264705882,0,0.735294118
